id,module,table_name,priority,purpose,primary_key,important_foreign_keys,unique_or_check,key_columns,retention
T23,Review,product_reviews,P1,Đánh giá đã mua,id,customer_id->customers; order_item_id->order_items; product_id->products,order_item UQ,"rating,title,content,status,moderated_by,moderated_at,version",retain/moderate
T24,Pricing,product_prices,P0,Lịch sử giá,id,product_variant_id->product_variants,no overlap active regular range; amount > 0; no retroactive,"price_type,currency_code,amount,starts_at,ends_at,status,version",future schedule; immutable history; >20% reduction requires audit reason + OWNER confirmation
T25,FlashSale,flash_sale_campaigns,P1,Chiến dịch timed,id,,code UQ; valid range CHECK,"name,start_at,end_at,status,priority,version",retain campaign history
T26,FlashSale,flash_sale_items,P1,Variant và quota sale,id,campaign_id->flash_sale_campaigns; product_variant_id->product_variants,campaign+variant UQ,"sale_price,global_quota,sold_qty,reserved_qty,limit_per_customer,version",retain campaign history
T27,FlashSale,flash_sale_quota_reservations,P1,Giữ quota flash,id,flash_sale_item_id->flash_sale_items; order_id->orders,token UQ,"customer_key,quantity,status,expires_at,committed_at,version",90 days proposed
T28,Inventory,inventory_balances,P0,Tồn đọc nhanh,id,warehouse_id->warehouses; product_variant_id->product_variants,warehouse+variant UQ; nonnegative CHECK,"on_hand,reserved,reorder_point,version,updated_at",permanent current
T29,Inventory,inventory_movements,P0,Sổ kho append-only,id,warehouse_id->warehouses; product_variant_id->product_variants; created_by->users,idempotency_key UQ; reject UPDATE/DELETE/TRUNCATE,"movement_type,quantity_delta,balance_after,reference_type,reference_id,reason,occurred_at,created_by",10 years proposed
T30,Inventory,inventory_reservations,P0,Giữ tồn checkout,id,warehouse_id->warehouses; product_variant_id->product_variants; order/order_item/component,reservation key UQ,"token,order_item_id,order_item_component_id,quantity,status,expires_at,committed_at,released_at,version",2 years proposed
T31,Inventory,stock_adjustments,P0,Phiếu điều chỉnh tồn cơ bản Sprint 1,id,warehouse_id->warehouses; created_by->users,adjustment_no UQ mã hóa đủ UUID bằng base36; idempotency_key UQ; request_hash,"adjustment_type,reason_code,reason,status,idempotency_key,request_hash,result_json,created_by,posted_at,version",10 years proposed; POSTED immutable business record
T32,Inventory,stock_adjustment_items,P0,Dòng điều chỉnh,id,stock_adjustment_id->stock_adjustments; product_variant_id->product_variants,adjustment+variant UQ,"quantity_delta,expected_on_hand,actual_on_hand,note",10 years proposed
T33,Inventory,stocktakes,P1,Phiếu kiểm kê,id,warehouse_id->warehouses,stocktake_no UQ,"status,scope_json,snapshot_at,submitted_at,posted_at,version",10 years proposed
T34,Inventory,stocktake_items,P1,Dòng kiểm kê,id,stocktake_id->stocktakes; product_variant_id->product_variants,stocktake+variant UQ,"system_qty,counted_qty,variance_qty,note",10 years proposed
T35,Inventory,stock_transfers,P1,Phiếu chuyển kho,id,from/to_warehouse_id->warehouses,transfer_no UQ; from<>to CHECK,"status,reason,shipped_at,received_at,version",10 years proposed
T36,Inventory,stock_transfer_items,P1,Dòng chuyển kho,id,stock_transfer_id->stock_transfers; product_variant_id->product_variants,transfer+variant UQ,"requested_qty,shipped_qty,received_qty,damaged_qty",10 years proposed
T37,Cart,carts,P0,Giỏ user/guest,id,user_id->users,one active user/token partial UQ,"anonymous_token,status,currency_code,branch_id,expires_at,version",purge abandoned per policy
T38,Cart,cart_items,P0,Dòng giỏ,id,cart_id->carts; product_variant_id->product_variants,cart+variant UQ; quantity>0,"quantity,price_seen_at,unit_price_preview,metadata_json,version",with cart
T39,Order,orders,P0,Aggregate đơn,id,customer_id->customers; branch_id->branches; warehouse_id->warehouses,order_no UQ; idempotency UQ,"channel,status,payment_status,fulfillment_status,currency,prices_include_tax,subtotal,discount_total,shipping_total,tax_total,grand_total,utm_json,cancel_reason,version",10 years proposed
T40,Order,order_items,P0,Snapshot dòng đơn/id combo,id,order_id->orders; product_variant_id->product_variants; product_bundle_id->product_bundles,order+line_no UQ; qty>0,"item_type,sku_snapshot,name_snapshot,attributes_snapshot,quantity,list_price,discount_amount,unit_price,tax_amount,line_total,cost_snapshot",10 years proposed
T41,Order,order_addresses,P0,Snapshot địa chỉ đơn,id,order_id->orders,order+type UQ,"type,recipient,phone,address_line,ward,district,province_code,postal_code,country_code",10 years proposed
T42,Order,order_status_history,P0,Lịch sử trạng thái,id,order_id->orders,order+sequence UQ,"from_status,to_status,reason,actor_type,actor_id,request_id,created_at",10 years proposed
T43,Payment,payments,P0,Aggregate thanh toán,id,order_id->orders,order_id UQ; payment_ref UQ,"method,status,expected_amount,received_amount,currency,expires_at,confirmed_by,confirmed_at,failure_reason,version",10 years proposed
T44,Payment,payment_transactions,P0,Attempt/webhook append-only,id,payment_id->payments,provider+external_event partial UQ; idempotency UQ,"type,provider,external_id,amount,status,raw_payload_redacted,occurred_at",10 years proposed
T45,Payment,payment_evidences,P0,Chứng từ chuyển khoản,id,payment_id->payments; uploaded_by->users,file_hash partial UQ,"file_url,file_type,note,status,reviewed_by,reviewed_at",finance retention
T46,Payment,refunds,P1,Hoàn tiền theo return request,id,payment_id->payments; return_request_id->return_requests; approval_request_id->approval_requests,refund_no UQ; return_request UQ; idempotency UQ,"amount,reason,status,requested_by,approved_by,processed_at,version",10 years proposed
T47,Fulfillment,fulfillments,P0,Pick-pack-ship và giao thất bại,id,order_id->orders; warehouse_id->warehouses,order_id UQ; fulfillment_no UQ,"status,carrier_code,tracking_no,picked_at,packed_at,shipped_at,delivered_at,delivery_failure_reason_code,returned_to_warehouse_at,return_condition,version",10 years proposed
T48,Fulfillment,fulfillment_status_history,P0,Lịch sử fulfillment,id,fulfillment_id->fulfillments,fulfillment+sequence UQ,"from_status,to_status,reason,actor_id,metadata_json,created_at",10 years proposed
T49,Shipping,shipping_zones,P0,Vùng giao hàng,id,,code UQ,"name,status,priority,version",soft-delete master
T50,Shipping,shipping_zone_provinces,P0,Tỉnh thuộc vùng,zone_id+province_code,zone_id->shipping_zones,province_code UQ active,"province_code",master history
T51,Shipping,shipping_rates,P0,Bảng phí giao hàng,id,zone_id->shipping_zones; branch_id->branches,no overlapping matching rules,"min_weight,max_weight,min_subtotal,max_subtotal,base_fee,per_kg_fee,free_shipping_threshold,eta_min_days,eta_max_days,status,version",retain price history
T52,Return,return_policies,P1,Chính sách trả hàng versioned,id,,code+version_no UQ,"name,effective_from,effective_to,return_window_days,conditions_json,status",retain forever
T53,Return,return_requests,P1,Yêu cầu trả theo sản phẩm,id,order_id->orders; policy_id->return_policies; customer_id->customers,return_no UQ; one active/order CHECK,"status,reason,description,evidence_urls,decision_reason,received_condition,version",10 years proposed
T54,Return,return_items,P1,Snapshot item trả,id,return_request_id->return_requests; order_item_id->order_items,request+order_item UQ,"quantity,condition,disposition,restock_qty,note",10 years proposed
T55,CMS,pages,P1,Trang tĩnh,id,hero_asset_id->media_assets,slug UQ,"page_type,title,body,hero_asset_id,seo_json,status,published_at,version",version/archive
T56,CMS,posts,P1,Bài viết,id,cover_asset_id->media_assets,slug UQ,"post_type,title,excerpt,body,cover_asset_id,status,published_at,seo_json,version",version/archive
T57,CMS,banners,P1,Banner theo vị trí,id,desktop_asset_id/mobile_asset_id->media_assets,code UQ,"placement,title,desktop_asset_id,mobile_asset_id,target_url,start_at,end_at,status,sort_order,version",archive
T58,Notification,notification_templates,P1,Template versioned,id,,code+channel+version UQ,"subject_template,body_template,allowed_variables,status",retain versions
T59,Notification,notifications,P1,Delivery log,id,user_id/customer_id,channel+dedup_key UQ,"template_code,recipient_masked,payload_json,status,attempt_count,next_attempt_at,sent_at,error_code",2 years proposed
T60,Platform,idempotency_keys,P0,Chống request trùng,id,user_id->users,actor+endpoint+key UQ,"request_hash,response_status,response_body_redacted,locked_at,expires_at",24-72 hours
T61,Platform,outbox_events,P0,Transactional outbox,id,,aggregate+event_id UQ,"aggregate_type,aggregate_id,event_type,payload_json,status,attempts,available_at,processed_at,error",30-90 days then archive
T62,Platform,system_settings,P1,Cấu hình không bí mật,id,,key UQ,"key,value_json,description,is_public,version,updated_by",version history via audit
T63,Media,media_assets,P0,Metadata ảnh/tệp trên provider,id,uploaded_by->users,provider+provider_asset_id UQ,"provider,provider_asset_id,public_id,secure_url,thumbnail_url,mime_type,width,height,size_bytes,checksum,status,version",status lifecycle; provider cleanup; retain DB row
T64,Media,media_usages,P1,Theo dõi asset nhúng rich content,id,media_asset_id->media_assets,asset+owner+field UQ,"owner_type,owner_id,field_name,sort_order",while owner retained
T65,Review,product_review_media,P1,Ảnh/video đánh giá,id,product_review_id->product_reviews; media_asset_id->media_assets,review+asset UQ,"sort_order,status,created_at",retain with review
T66,Review,product_review_comments,P1,Phản hồi đánh giá,id,product_review_id->product_reviews; parent_comment_id->self; author_user_id/moderated_by->users,max one reply level,"author_type,content,status,moderation_reason,version,created_at,deleted_at",retain/moderate
T67,CMS,content_categories,P1,Danh mục bài viết,id,parent_id->self,code UQ; slug UQ; no cycle,"name,slug,parent_id,sort_order,status,version",soft-delete
T68,CMS,content_tags,P1,Tag bài viết,id,,code UQ; slug UQ,"name,slug,status",soft-delete
T69,CMS,post_categories,P1,Bài viết-danh mục,post_id+content_category_id,post_id->posts; content_category_id->content_categories,composite PK; one primary/post partial UQ,"is_primary",while post retained
T70,CMS,post_tags,P1,Bài viết-tag,post_id+content_tag_id,post_id->posts; content_tag_id->content_tags,composite PK,"post_id,content_tag_id",while post retained
T71,CMS,post_products,P1,Bài viết-sản phẩm,post_id+product_id,post_id->posts; product_id->products,composite PK,"relation_type,sort_order",while post retained
T72,Catalog,product_bundles,P0,Combo ảo cố định theo SKU,id,bundle_variant_id->product_variants; created_by/updated_by->users,bundle_variant_id UQ,"bundle_type,status,version; active non-empty components required to publish",archive after transaction; API response nests bundle under owning variant
T73,Catalog,bundle_items,P0,Thành phần combo,id,product_bundle_id->product_bundles; component_variant_id->product_variants,bundle+component UQ; quantity>0,"quantity,sort_order",retain with bundle
T74,Order,order_item_components,P0,Snapshot thành phần combo trong đơn,id,order_item_id->order_items; bundle_item_id->bundle_items; component_variant_id->product_variants,order_item+component UQ,"sku_snapshot,name_snapshot,quantity_per_bundle,total_quantity,unit_cost_snapshot",10 years proposed
