permission_code,module,action,allowed_scopes,sensitive,default_roles,notes
inventory.transfer.ship,Inventory,ship,GLOBAL;WAREHOUSE,true,Inventory Manager; Warehouse Operator,Chỉ kho nguồn
inventory.transfer.receive,Inventory,receive,GLOBAL;WAREHOUSE,true,Inventory Manager; Warehouse Operator,Chỉ kho đích
order.view,Order,view,GLOBAL;BRANCH;WAREHOUSE;OWN,true,Order Manager; Order Operator; Warehouse Operator; Customer Service,OWN cho customer
order.create,Order,create,OWN,false,Customer/Guest,Guest access bằng signed checkout context
order.manage,Order,manage,GLOBAL;BRANCH,true,Order Manager; Order Operator,Transition qua command không patch status
order.cancel,Order,cancel,GLOBAL;BRANCH;OWN,true,Order Manager; Order Operator; Customer,OWN chỉ trước payment success
payment.view,Payment,view,GLOBAL;BRANCH;OWN,true,Finance Manager; Finance Operator; Order Manager,Che evidence/bank data
payment.confirm,Payment,confirm,GLOBAL;BRANCH,true,Finance Manager; Finance Operator,Cannot confirm own fabricated evidence policy
payment.refund.request,Payment,request,GLOBAL;BRANCH,true,Finance Operator; Customer Service,Refund theo return items; combo nguyên bộ
payment.refund.approve,Payment,approve,GLOBAL,true,Finance Manager,Maker != approver
fulfillment.view,Fulfillment,view,GLOBAL;BRANCH;WAREHOUSE;OWN,false,Order Manager; Order Operator; Inventory Manager; Warehouse Operator,
fulfillment.pick,Fulfillment,pick,GLOBAL;WAREHOUSE,true,Warehouse Operator; Inventory Manager,
fulfillment.pack,Fulfillment,pack,GLOBAL;WAREHOUSE,true,Warehouse Operator; Inventory Manager,
fulfillment.ship,Fulfillment,ship,GLOBAL;WAREHOUSE,true,Warehouse Operator; Inventory Manager,Trừ on_hand tại command này
fulfillment.delivery_update,Fulfillment,update,GLOBAL;BRANCH,true,Order Manager; Order Operator,Webhook carrier dùng system principal
return.view,Return,view,GLOBAL;BRANCH;WAREHOUSE;OWN,true,Customer Service; Order Manager; Warehouse Operator,
return.request,Return,request,OWN,false,Customer,Policy evaluation server-side
return.decide,Return,decide,GLOBAL;BRANCH,true,Customer Service; Order Manager,Refund vẫn cần Finance approve
return.receive,Return,receive,GLOBAL;WAREHOUSE,true,Warehouse Operator; Inventory Manager,RESTOCK mới tăng tồn
cms.content.view,CMS,view,GLOBAL;BRANCH,false,Content Editor; Marketing Manager,
cms.content.manage,CMS,manage,GLOBAL,true,Content Editor; Marketing Manager,
media.asset.upload,Media,upload,GLOBAL;BRANCH;OWN,true,Content Editor; Marketing Manager; Catalog Manager; Customer,Customer chỉ upload review media qua restricted preset
media.asset.view,Media,view,GLOBAL;BRANCH;OWN,false,Content Editor; Marketing Manager; Catalog Manager; Content Moderator,
media.asset.manage,Media,manage,GLOBAL,true,Content Editor,Delete provider asset là two-step và cần audit
notification.template.manage,Notification,manage,GLOBAL,true,Super Admin; Content Editor,Test send có audit
report.operation.view,Reporting,view,GLOBAL;BRANCH;WAREHOUSE,false,Operations Manager; Order Manager; Inventory Manager,
report.revenue.view,Reporting,view,GLOBAL;BRANCH,true,Finance Manager; Operations Manager,Chỉ COMPLETED
report.inventory.view,Reporting,view,GLOBAL;BRANCH;WAREHOUSE,false,Inventory Manager; Auditor,
report.export,Reporting,export,GLOBAL;BRANCH;WAREHOUSE,true,Finance Manager; Inventory Manager; Auditor,Export PII phải audit
approval.view,Approval,view,GLOBAL;BRANCH;WAREHOUSE,true,Approver; Auditor,Scope của approval không vượt assignment
approval.decide,Approval,decide,GLOBAL;BRANCH;WAREHOUSE,true,Approver,Maker != approver và permission mục tiêu bắt buộc
system.setting.manage,Platform,manage,GLOBAL,true,Super Admin,Không lưu secret trong bảng settings
